{{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,},
{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,},
{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,},
{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,},
{0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,20,0,0,0,0,5,2,},
{0,0,0,0,0,0,0,0,0,0,0,0,3,4,22,22,22,22,22,22,22,22,26,1,},
{0,0,0,0,0,0,0,0,0,0,0,0,3,1,23,23,23,23,23,23,23,23,26,1,},
{0,0,15,0,0,0,0,0,15,0,20,0,3,1,1,1,1,1,1,1,1,1,1,1,},
{0,0,16,0,0,19,0,0,16,0,0,0,3,1,1,1,4,0,0,0,0,0,3,1,},
{0,0,16,0,0,0,0,0,16,0,0,0,3,1,1,4,0,0,0,0,0,0,0,3,},
{0,19,16,0,0,0,0,0,16,0,0,0,3,1,1,25,22,22,22,22,22,22,22,26,},
{0,0,3,14,14,14,14,14,12,14,14,14,12,1,1,25,23,23,23,23,23,23,23,26,},
{0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,25,24,24,24,24,24,26,1,},
{2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,},
} 

